sector,area_m2,pisos,habitaciones,banos,antiguedad,garaje,precio
Calderon,167.2,2,3,1,4,1,119482.34
Carapungo,116.5,1,2,2,5,1,79966.17
Cumbaya,113.4,3,2,1,7,1,194396.68
Tumbaco,146.1,1,2,4,26,1,155095.81
Conocoto,102.5,2,3,3,1,1,75966.82
La Carolina,150.4,2,2,4,11,1,207879.04
Tumbaco,89.5,1,4,2,2,1,97018.73
Conocoto,46.2,1,1,1,9,1,32555.7
Centro Norte,173.1,3,3,1,3,1,268665.71
Centro Norte,181.7,2,2,3,11,1,253517.82
Calderon,109.3,2,2,3,5,1,61866.71
Tumbaco,113.3,2,2,1,2,0,128703.21
La Carolina,109.5,2,2,2,17,1,163523.2
Calderon,104.9,1,3,3,15,0,73037.52
Carapungo,237.3,1,2,1,1,1,145039.65
Tumbaco,139.1,1,2,1,7,1,127298.31
Quitumbe,201.9,2,3,2,6,1,108051.65
Calderon,179.6,2,3,2,6,0,119630.74
Cumbaya,236.7,3,3,2,9,1,364434.47
Tumbaco,166.8,2,5,1,3,0,193139.86
Calderon,88.6,1,5,2,2,1,66200.52
Centro Norte,68.0,1,4,3,17,1,105177.85
Carapungo,182.7,2,5,4,2,1,164014.02
La Carolina,80.4,2,2,2,10,1,136608.86
Calderon,160.9,2,3,2,7,1,100180.11
Gonzalez Suarez,200.5,2,3,2,1,1,446966.84
Gonzalez Suarez,139.4,1,4,3,24,1,248496.32
Centro Norte,92.5,1,3,2,4,1,114715.47
Gonzalez Suarez,151.5,3,2,2,16,1,258601.89
Cumbaya,162.5,1,3,2,7,0,258131.27
Calderon,168.5,2,4,3,3,1,130352.45
La Carolina,80.0,1,5,3,15,1,132821.31
Centro Historico,95.3,2,4,2,7,0,87940.88
Tumbaco,101.7,1,5,3,0,1,127114.48
Gonzalez Suarez,101.4,1,2,2,6,1,196884.39
Carapungo,153.6,2,3,3,0,1,139757.76
Gonzalez Suarez,162.2,2,2,2,5,0,327298.51
Centro Norte,217.2,1,3,2,5,1,293783.1
Centro Norte,168.4,3,4,2,12,1,240399.71
Gonzalez Suarez,246.7,3,3,4,18,0,389749.64
La Carolina,62.8,2,3,3,3,1,92781.79
Calderon,187.6,3,4,3,2,0,124900.9
Conocoto,220.5,1,2,2,16,1,197709.61
Cumbaya,96.9,2,3,2,3,1,192742.81
Gonzalez Suarez,126.4,3,5,2,7,1,226450.24
Gonzalez Suarez,68.0,3,4,1,21,1,128439.92
Centro Historico,124.5,1,2,3,7,0,103838.61
Calderon,114.7,3,2,2,2,1,68854.7
Cumbaya,154.5,2,3,3,5,1,306845.3
Calderon,124.9,2,2,1,1,1,80721.61
Cumbaya,113.0,2,2,2,4,1,183120.41
Centro Norte,182.2,1,2,2,2,1,177524.95
Quitumbe,134.5,2,2,1,4,1,106354.7
La Carolina,73.7,2,1,2,4,1,98645.53
Gonzalez Suarez,74.0,3,4,1,0,1,184156.33
Cumbaya,109.2,2,3,1,0,0,203164.43
Centro Norte,153.0,3,5,2,11,1,181651.09
Centro Historico,103.0,1,2,2,16,1,73664.02
La Carolina,156.6,2,4,2,15,1,215827.5
Centro Norte,160.7,2,3,3,8,1,200698.79
Calderon,53.5,2,5,2,5,1,35972.66
Calderon,188.4,2,4,3,0,0,137942.1
Quitumbe,196.1,1,2,1,1,0,116338.88
Quitumbe,168.0,2,4,2,28,1,113293.14
Gonzalez Suarez,113.5,1,2,1,4,1,154947.38
La Carolina,79.1,1,3,3,5,0,93383.84
Cumbaya,170.7,1,2,2,5,1,274601.89
Calderon,127.4,1,2,3,14,1,82326.21
La Carolina,59.7,1,3,1,3,1,90497.15
Centro Historico,104.9,2,3,2,5,1,83571.58
Quitumbe,118.0,1,2,2,8,1,94617.53
Carapungo,164.8,1,2,2,5,1,98974.89
Carapungo,142.4,2,5,1,4,1,100614.41
Tumbaco,139.6,2,4,3,6,1,146091.44
Centro Norte,101.8,2,2,1,7,1,97510.84
Centro Norte,130.1,2,3,2,6,1,175789.37
La Carolina,109.9,2,4,2,5,1,175855.6
Cumbaya,112.0,3,5,2,3,1,266252.24
Quitumbe,169.0,2,4,3,1,1,112848.32
Centro Historico,181.0,2,3,3,18,1,150551.6
Cumbaya,61.0,3,3,2,18,1,113092.26
Gonzalez Suarez,200.7,2,2,3,5,1,334693.91
Tumbaco,181.4,2,2,2,10,1,265852.26
Centro Historico,204.3,1,2,3,10,1,152532.51
Gonzalez Suarez,175.9,2,5,2,2,1,393656.77
Centro Historico,154.0,2,3,1,16,1,133880.86
Tumbaco,200.2,2,2,1,0,1,286512.56
Calderon,108.6,1,4,2,2,1,60294.79
Centro Norte,100.2,2,3,1,4,1,130600.18
Quitumbe,203.5,2,2,2,1,0,126062.93
Calderon,104.1,1,2,2,29,1,56393.04
Tumbaco,268.7,1,4,2,18,1,293119.81
Cumbaya,268.5,1,4,2,5,1,348040.41
La Carolina,122.2,1,2,3,2,1,191637.5
La Carolina,186.8,1,2,2,8,0,283945.18
Quitumbe,188.1,2,4,3,35,1,119487.65
Tumbaco,126.2,1,2,2,10,1,149597.06
Gonzalez Suarez,186.2,2,3,2,3,1,351721.57
Tumbaco,202.3,2,2,4,11,0,197809.23
Centro Historico,139.0,1,3,2,10,1,120924.75
Conocoto,148.5,3,3,1,2,0,122027.2
La Carolina,139.6,1,3,2,10,0,225320.32
Quitumbe,221.0,2,2,4,4,1,160104.47
Centro Historico,158.6,1,2,3,0,1,130673.76
Tumbaco,168.7,2,3,4,10,1,188799.15
Tumbaco,154.2,2,5,1,7,1,185628.16
Conocoto,138.3,2,3,2,13,1,119898.32
Gonzalez Suarez,51.9,1,5,1,24,1,88183.4
Carapungo,204.2,2,3,4,18,1,147690.17
Centro Historico,124.5,2,5,2,5,1,94430.57
Centro Norte,130.4,2,4,3,0,1,190943.09
Centro Historico,76.3,2,3,3,6,1,78672.14
Calderon,160.6,2,3,2,17,1,72491.7
La Carolina,144.1,3,4,4,3,1,224415.13
Centro Norte,59.7,2,2,2,5,1,79303.17
Cumbaya,72.8,1,2,1,0,1,95812.14
Conocoto,92.3,3,4,2,7,1,74847.54
Carapungo,83.9,3,2,4,8,1,56173.78
Centro Historico,119.2,3,4,3,7,1,90109.18
Conocoto,211.0,2,2,3,2,1,215645.56
Conocoto,98.0,3,2,1,17,1,89552.51
Centro Historico,172.9,1,3,2,2,1,191433.94
Centro Historico,185.4,2,3,2,15,1,156937.94
Carapungo,186.6,3,4,3,9,1,143963.48
Quitumbe,192.0,1,4,2,19,0,111016.54
La Carolina,128.7,1,3,4,7,1,224192.43
Carapungo,120.5,1,3,3,3,0,78106.48
Centro Norte,148.8,1,3,3,0,1,174753.51
Cumbaya,241.0,2,3,1,13,1,313498.13
Gonzalez Suarez,173.9,1,4,2,13,1,279743.07
La Carolina,115.8,3,5,1,10,1,200209.02
Centro Norte,63.7,3,3,3,2,1,86825.04
Cumbaya,187.5,2,5,1,16,1,327772.62
La Carolina,92.8,1,5,2,12,1,160246.89
Calderon,106.2,1,3,1,6,1,66821.95
Carapungo,238.1,2,5,3,8,1,150327.98
Quitumbe,187.0,1,2,2,0,1,163742.18
Tumbaco,143.1,3,2,3,3,1,156320.8
Quitumbe,189.4,1,2,1,8,1,138534.29
Quitumbe,213.8,1,5,4,7,1,187652.25
Calderon,247.8,2,3,1,1,1,196203.36
La Carolina,107.4,3,2,4,3,0,139034.42
Calderon,165.3,2,2,2,1,1,91506.73
Cumbaya,196.6,2,4,3,5,1,390047.84
Gonzalez Suarez,224.2,2,4,4,4,1,432259.49
Gonzalez Suarez,76.1,2,4,2,11,1,113233.13
Calderon,151.5,2,2,2,0,1,88266.17
Carapungo,105.7,2,3,2,15,0,65789.21
Cumbaya,62.2,1,2,2,3,1,111952.21
Cumbaya,169.4,1,3,2,7,1,280825.79
Centro Norte,116.6,3,3,2,0,1,199749.29
Conocoto,133.5,3,3,2,0,0,115435.82
Centro Norte,62.8,2,3,2,1,0,82674.37
Tumbaco,170.6,3,2,3,4,1,206340.99
Quitumbe,134.9,1,4,3,11,0,84589.86
Conocoto,86.2,2,3,3,0,1,92642.73
La Carolina,180.1,3,4,1,2,0,286526.5
La Carolina,199.5,2,4,3,4,1,284772.02
Carapungo,73.0,2,3,2,3,1,47663.44
Cumbaya,75.3,1,3,3,7,1,109876.18
Gonzalez Suarez,58.5,2,3,2,10,1,108869.97
Centro Norte,127.4,3,2,4,3,0,155020.41
Tumbaco,90.6,2,3,2,7,1,89253.09
Cumbaya,144.6,1,4,3,1,1,334363.16
Cumbaya,209.9,2,1,2,24,1,336344.76
Quitumbe,206.3,2,2,2,18,1,146037.67
Cumbaya,104.1,2,3,3,0,1,181011.47
Cumbaya,117.6,3,3,2,1,1,198120.17
Gonzalez Suarez,63.2,2,3,2,35,0,104366.05
Centro Norte,46.6,2,1,2,13,1,51369.33
Quitumbe,121.0,1,4,1,3,1,88382.63
Conocoto,201.9,2,2,2,2,1,189463.93
Gonzalez Suarez,81.4,2,5,3,6,1,143972.22
Tumbaco,167.9,1,3,2,6,0,157739.49
Conocoto,139.0,2,2,4,0,1,151798.05
Carapungo,143.8,2,2,3,1,1,103883.22
Quitumbe,105.9,2,3,2,5,1,61506.84
Calderon,158.3,2,3,2,4,1,141294.81
Gonzalez Suarez,228.7,1,2,3,3,0,428752.73
La Carolina,144.4,3,3,2,3,1,222888.12
Cumbaya,107.5,2,3,1,3,0,193478.21
La Carolina,134.6,2,2,2,22,1,192865.91
Quitumbe,142.5,2,3,2,1,1,84958.1
La Carolina,111.8,1,3,1,9,0,130672.17
Tumbaco,103.3,1,2,3,15,1,112879.9
Centro Norte,71.7,2,3,3,10,1,102985.57
Calderon,120.4,1,4,1,6,1,76693.38
Centro Norte,80.3,1,1,2,2,1,116717.23
Centro Norte,138.6,1,3,3,5,1,183756.32
Tumbaco,164.7,1,2,3,22,1,198301.08
Cumbaya,247.9,2,4,2,7,0,449789.73
Carapungo,109.8,1,4,3,12,0,75015.57
Cumbaya,99.9,1,3,3,8,0,210111.29
Centro Historico,199.3,1,1,1,27,1,132850.05
Carapungo,77.4,1,3,3,8,1,48494.09
La Carolina,136.3,1,3,4,5,1,184400.5
La Carolina,167.8,1,3,2,4,1,220996.37
Quitumbe,150.5,2,1,4,8,1,105010.99
Calderon,131.6,2,3,3,10,1,103500.36
Quitumbe,154.7,2,2,3,0,1,108720.74
Gonzalez Suarez,91.3,2,4,2,0,0,126985.89
Calderon,131.1,1,3,3,10,1,95788.82
Tumbaco,204.4,1,3,3,7,0,189502.28
Conocoto,221.9,2,4,3,0,1,250405.22
Centro Norte,95.6,1,4,4,3,1,118214.87
Tumbaco,117.1,2,1,1,0,0,142010.01
Conocoto,189.0,2,4,1,2,1,167032.71
Carapungo,191.2,1,4,2,0,0,129539.85
Centro Historico,144.4,2,2,2,4,0,143254.31
Tumbaco,170.9,2,2,1,8,1,173062.15
Quitumbe,182.5,3,2,2,31,0,146838.89
Cumbaya,224.0,3,4,1,15,1,422098.28
Centro Norte,165.7,2,3,1,0,1,231677.99
La Carolina,126.3,3,3,1,2,0,206211.82
Quitumbe,157.8,1,2,3,4,1,100522.49
Conocoto,45.0,1,4,1,8,1,42691.52
Calderon,164.4,2,3,4,1,1,116817.27
Centro Norte,163.3,2,3,1,1,1,217305.45
Centro Historico,163.5,3,2,2,6,1,139326.58
Cumbaya,135.9,2,2,4,15,1,217060.82
La Carolina,221.6,1,4,1,3,1,378223.55
Gonzalez Suarez,107.7,1,3,3,5,1,202058.6
Centro Norte,115.1,3,3,3,6,1,155413.01
Carapungo,144.2,2,2,3,13,1,93959.84
Gonzalez Suarez,113.6,1,3,3,2,1,196627.01
Conocoto,143.4,1,3,3,3,1,135390.93
Gonzalez Suarez,141.4,2,1,2,10,1,256647.31
Centro Norte,103.2,3,4,2,27,1,128055.65
Calderon,93.9,3,5,3,1,1,65319.03
Gonzalez Suarez,169.0,1,4,1,15,1,302577.75
La Carolina,153.8,1,2,3,16,1,204972.76
Centro Norte,152.2,2,5,3,1,1,178473.78
Calderon,189.9,2,5,2,1,1,137910.23
La Carolina,163.5,3,2,1,3,1,222240.04
Quitumbe,212.9,3,2,3,0,1,148352.73
Gonzalez Suarez,173.6,1,3,2,15,1,393608.87
Gonzalez Suarez,135.1,1,3,1,27,0,225425.01
Conocoto,149.8,2,1,4,10,1,130012.1
Calderon,101.2,1,2,1,2,0,74180.87
Cumbaya,180.0,1,2,3,0,1,265464.03
Carapungo,80.1,3,3,2,14,1,52160.62
Gonzalez Suarez,157.7,2,2,2,5,1,291414.9
Conocoto,188.8,3,3,2,4,1,214507.74
Conocoto,122.6,3,3,3,8,1,107092.57
Tumbaco,248.5,3,3,3,5,1,293100.93
Quitumbe,180.3,1,3,2,5,1,149484.54
Gonzalez Suarez,264.2,2,4,1,14,1,437552.35
Cumbaya,156.0,2,2,4,4,0,274946.94
Conocoto,191.9,2,1,3,0,1,201578.57
Cumbaya,169.0,2,2,3,2,1,291567.38
Centro Historico,180.5,1,4,2,8,1,173342.16
Tumbaco,129.4,2,2,1,3,1,132185.47
Conocoto,151.6,2,2,1,1,0,149206.76
Quitumbe,82.8,1,3,2,5,1,51134.7
Centro Historico,111.5,2,4,1,3,1,118878.05
Tumbaco,92.8,2,3,3,13,1,105629.22
Conocoto,179.7,2,3,3,9,1,139039.56
Carapungo,119.8,2,5,2,5,1,70595.58
Gonzalez Suarez,132.5,1,3,2,3,1,213177.35
Quitumbe,99.5,2,1,2,26,1,66509.61
Quitumbe,51.6,1,2,2,1,1,37497.01
Centro Norte,174.8,2,4,4,2,1,271681.21
Tumbaco,139.1,2,2,2,14,1,134384.35
La Carolina,76.9,3,3,2,6,0,101976.5
Gonzalez Suarez,113.9,2,4,2,3,1,198216.6
Gonzalez Suarez,116.7,2,3,2,26,1,174910.42
Quitumbe,121.9,2,2,3,23,0,82048.8
Gonzalez Suarez,150.9,2,3,2,5,1,272237.36
Calderon,45.0,2,4,4,4,1,38476.97
Tumbaco,148.2,1,1,2,2,1,189561.49
Quitumbe,176.1,2,5,1,16,1,107011.25
Centro Norte,108.7,1,5,1,45,1,120072.75
Cumbaya,200.5,1,1,4,13,1,247421.59
Cumbaya,101.6,2,2,2,4,0,192212.99
Gonzalez Suarez,194.8,2,1,1,16,1,388683.81
Cumbaya,173.0,1,2,2,2,1,311598.12
Calderon,100.6,1,1,2,14,1,57886.79
Centro Norte,119.7,2,2,3,16,1,111400.37
Tumbaco,150.5,1,4,3,13,1,175565.27
Tumbaco,103.1,2,2,1,7,0,105789.13
Cumbaya,140.0,1,2,3,0,1,223385.32
Conocoto,149.2,3,3,4,22,1,117481.1
Quitumbe,136.7,2,3,3,0,0,110441.5
Centro Norte,111.0,1,3,4,2,1,153867.77
Gonzalez Suarez,133.0,3,3,2,4,1,257284.27
Gonzalez Suarez,201.8,3,2,3,5,1,354800.32
Cumbaya,173.6,1,4,4,0,1,344320.22
Quitumbe,123.6,2,2,1,5,1,81561.01
Centro Norte,154.6,2,4,4,0,1,226133.45
Quitumbe,136.1,2,5,2,9,1,103383.46
Cumbaya,128.1,1,1,2,11,1,211719.4
Tumbaco,228.6,2,3,3,9,1,328987.37
Carapungo,128.8,2,3,1,2,1,101949.71
Calderon,147.6,1,3,3,8,1,104466.54
Quitumbe,106.9,1,3,3,6,0,66941.88
Centro Norte,196.1,3,3,3,6,0,268841.2
La Carolina,139.8,1,1,2,2,1,240099.74
Centro Historico,130.5,2,3,2,4,0,113580.18
Quitumbe,162.4,1,5,1,24,1,110213.61
Centro Historico,129.1,3,2,2,0,0,98727.36
Gonzalez Suarez,208.1,2,5,4,3,1,412916.52
Tumbaco,209.6,1,3,3,5,0,235867.28
Centro Historico,184.7,2,1,3,1,1,149290.5
Quitumbe,139.0,2,2,2,4,1,93934.2
Gonzalez Suarez,45.0,2,2,1,0,1,94882.05
Centro Historico,105.8,2,3,3,2,0,91401.26
Tumbaco,63.7,1,1,1,16,1,58471.95
Tumbaco,238.8,2,4,2,3,1,264384.19
Calderon,211.0,2,4,2,1,1,161846.44
Gonzalez Suarez,144.6,2,2,3,4,0,258415.7
Carapungo,185.0,2,4,2,4,0,102846.07
Tumbaco,174.5,1,5,2,2,1,164858.1
Gonzalez Suarez,195.3,2,3,3,7,1,382418.67
Centro Norte,116.8,2,5,3,33,1,157973.64
Centro Norte,122.3,2,4,1,2,1,150855.81
Cumbaya,60.6,2,4,1,5,1,131612.78
Tumbaco,79.7,1,2,3,1,0,103878.83
Conocoto,113.2,1,3,4,15,1,96256.49
Calderon,130.9,2,3,4,0,1,80252.78
Gonzalez Suarez,64.1,2,4,2,27,0,84969.92
Cumbaya,88.2,3,4,4,2,1,155014.09
Conocoto,84.1,3,3,3,2,1,66383.96
Gonzalez Suarez,141.4,1,2,1,0,1,283131.56
Centro Norte,63.9,2,3,1,12,1,82580.18
Conocoto,118.4,2,5,2,8,1,118050.13
Calderon,119.3,1,2,2,31,0,65480.86
Centro Historico,215.7,2,3,2,4,1,157523.62
Centro Historico,177.1,2,3,1,7,0,161522.7
Quitumbe,228.3,2,2,2,8,1,129406.29
Quitumbe,199.5,2,3,2,7,1,142450.56
Cumbaya,247.8,1,5,1,11,1,329815.31
Conocoto,70.9,3,3,4,1,1,66634.15
Centro Historico,172.3,2,4,2,17,0,138619.55
Conocoto,118.2,2,1,2,7,1,90348.36
Centro Historico,169.4,2,2,4,0,1,148363.93
Centro Norte,127.7,2,2,2,7,1,146869.2
Calderon,165.0,3,3,2,7,1,134784.16
Carapungo,188.9,2,2,3,3,1,134921.18
Cumbaya,195.3,2,3,2,9,1,403372.35
Tumbaco,159.1,2,3,3,7,1,186494.7
Quitumbe,139.3,3,2,3,4,1,99362.99
Cumbaya,142.1,2,5,3,10,1,272145.24
Gonzalez Suarez,89.6,1,3,2,3,1,127281.19
Tumbaco,115.4,2,4,2,3,1,168313.55
Cumbaya,116.3,2,4,3,3,1,212794.88
Conocoto,121.6,2,4,2,5,1,80952.02
Calderon,188.8,2,2,1,0,0,104475.15
Centro Historico,155.7,2,2,2,2,0,137234.96
Quitumbe,199.9,2,5,2,11,1,127311.73
Gonzalez Suarez,96.6,2,3,3,7,1,200278.41
Cumbaya,134.9,3,3,1,11,1,245085.29
Centro Historico,125.0,2,2,2,6,1,106014.21
Centro Historico,202.2,2,4,2,3,1,165748.66
Gonzalez Suarez,119.2,1,3,2,0,1,193802.22
La Carolina,126.2,2,5,1,8,0,176919.34
La Carolina,102.5,2,3,3,3,1,164709.57
Centro Historico,130.8,2,4,2,7,0,109833.79
Carapungo,209.8,2,4,2,1,1,146653.42
Calderon,82.5,1,2,2,4,1,49719.09
Centro Historico,88.4,2,4,2,1,1,84586.54
Carapungo,187.1,2,3,1,4,1,131592.94
Cumbaya,85.4,3,3,2,2,0,145724.01
Centro Historico,192.0,1,4,3,4,1,160500.32
Carapungo,92.5,2,1,2,0,1,56013.09
Gonzalez Suarez,189.0,2,3,2,5,1,400261.82
Calderon,156.8,1,3,1,0,1,127703.13
Centro Historico,262.5,1,3,4,17,1,160098.27
Quitumbe,194.1,1,1,3,7,1,125080.83
Calderon,193.6,2,4,2,6,1,176008.97
Gonzalez Suarez,99.1,1,3,4,21,1,188086.8
Centro Norte,45.0,2,4,2,22,1,51840.48
La Carolina,150.1,1,3,4,0,1,241821.28
Cumbaya,79.7,2,3,3,14,0,140995.33
Tumbaco,45.0,2,5,2,24,1,46019.49
La Carolina,159.3,2,3,2,0,0,248375.08
Carapungo,150.3,1,3,2,5,1,89169.59
Carapungo,95.2,2,5,1,18,1,56686.37
Calderon,122.3,2,3,3,17,1,78182.99
La Carolina,107.0,2,2,1,1,0,127997.86
Gonzalez Suarez,167.2,1,1,3,3,1,317952.67
Tumbaco,121.0,1,4,1,0,1,132260.46
Calderon,86.5,2,4,2,2,0,64999.91
Calderon,45.7,2,2,2,4,1,24656.64
La Carolina,164.1,1,3,3,36,1,242326.85
Tumbaco,45.0,2,3,3,8,0,49513.19
La Carolina,104.3,2,5,3,13,1,165628.13
Conocoto,126.8,3,5,3,2,0,134283.86
Carapungo,94.6,1,4,2,20,1,46894.01
Carapungo,105.4,3,4,2,10,1,70337.2
Centro Norte,84.9,1,4,2,2,0,100299.32
Centro Historico,207.7,1,3,2,0,1,209479.2
La Carolina,147.1,3,4,2,0,1,299783.22
Calderon,237.0,3,4,2,14,0,138193.45
Centro Norte,146.6,1,3,2,11,0,183164.72
Tumbaco,101.1,1,3,3,19,0,104798.16
Cumbaya,235.6,1,3,3,14,1,432994.86
Quitumbe,216.7,1,3,1,26,1,117972.41
Gonzalez Suarez,225.0,1,2,2,7,1,446884.77
Quitumbe,183.8,3,3,2,0,1,145235.69
Cumbaya,141.0,3,5,2,1,0,220677.69
Carapungo,144.3,1,3,3,11,1,70032.24
Centro Historico,107.5,3,4,2,16,1,80085.27
La Carolina,203.6,1,2,1,4,1,319955.28
Gonzalez Suarez,201.2,1,4,2,2,1,344375.36
Centro Historico,178.8,2,3,2,0,1,152077.43
Calderon,235.5,3,3,2,0,1,190199.86
Centro Norte,129.6,1,3,2,18,1,127662.28
Carapungo,161.2,1,2,2,2,1,95897.96
Quitumbe,105.1,1,2,1,5,1,74518.0
Centro Norte,164.3,2,4,3,5,1,201648.52
Carapungo,144.0,1,4,2,19,1,71422.01
Carapungo,119.4,2,3,4,1,1,97595.11
Cumbaya,172.0,1,2,3,7,1,281371.52
Conocoto,133.3,1,3,4,8,0,118623.44
Gonzalez Suarez,160.5,1,3,2,18,1,250078.87
Gonzalez Suarez,226.7,2,2,2,1,0,354719.49
Tumbaco,64.3,2,4,4,1,1,81621.01
Carapungo,64.1,1,2,2,0,1,36268.95
Calderon,125.1,2,3,3,4,1,96652.98
Calderon,61.6,2,2,4,1,1,41519.09
Gonzalez Suarez,190.1,1,2,2,15,1,388943.38
Gonzalez Suarez,207.3,1,5,1,7,1,420640.02
Cumbaya,91.8,1,4,2,5,1,146291.73
Conocoto,125.0,2,4,1,3,0,89357.93
Conocoto,117.0,1,2,3,23,1,75241.32
Cumbaya,110.3,1,3,2,0,1,169439.23
Quitumbe,85.0,2,3,2,0,0,63209.21
Carapungo,182.3,1,3,3,13,1,106406.86
Carapungo,67.9,1,3,3,16,1,39856.85
Gonzalez Suarez,165.1,1,2,2,19,1,312362.07
Conocoto,82.3,2,2,1,3,1,58438.97
Quitumbe,89.9,2,2,3,13,1,54338.29
Tumbaco,146.4,2,2,1,36,0,118007.49
Conocoto,170.3,2,4,2,5,1,153487.35
Tumbaco,217.0,2,3,1,4,1,273884.91
Calderon,167.8,1,3,2,1,1,112795.57
Centro Norte,169.3,1,2,4,8,1,225284.1
Gonzalez Suarez,223.4,2,3,2,2,1,497835.5
Centro Historico,170.9,2,2,1,1,1,139948.19
Tumbaco,158.4,2,2,1,7,1,175428.73
Tumbaco,174.5,2,3,2,13,1,218253.59
Centro Norte,140.6,1,2,2,3,1,221926.01
Quitumbe,90.1,2,3,4,12,1,62143.07
Tumbaco,63.1,2,2,4,3,0,79957.28
Calderon,94.8,2,3,2,1,0,55495.71
Conocoto,45.0,3,3,2,2,1,42665.99
